"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"15-19",2035,"4",0,0
"15-19",2036,"4",0,0
"15-19",2037,"4",0,0
"15-19",2038,"4",0,0
"15-19",2039,"4",0,0
"15-19",2040,"4",0,0
"15-19",2020,"5+",0,0
"15-19",2021,"5+",0,0
"15-19",2022,"5+",0,0
"15-19",2023,"5+",0,0
"15-19",2024,"5+",0,0
"15-19",2025,"5+",0,0
"15-19",2026,"5+",0,0
"15-19",2027,"5+",0,0
"15-19",2028,"5+",0,0
"15-19",2029,"5+",0,0
"15-19",2030,"5+",0,0
"15-19",2031,"5+",0,0
"15-19",2032,"5+",0,0
"15-19",2033,"5+",0,0
"15-19",2034,"5+",0,0
"15-19",2035,"5+",0,0
"15-19",2036,"5+",0,0
"15-19",2037,"5+",0,0
"15-19",2038,"5+",0,0
"15-19",2039,"5+",0,0
"15-19",2040,"5+",0,0
"20-24",2020,"0",0.352999999999993,0.0705999999999985
"20-24",2021,"0",0.326599999999989,0.0653199999999979
"20-24",2022,"0",0.300199999999986,0.0600399999999972
"20-24",2023,"0",0.273799999999992,0.0547599999999984
"20-24",2024,"0",0.247399999999989,0.0494799999999977
"20-24",2025,"0",0.220999999999985,0.0441999999999971
"20-24",2026,"0",0.194599999999982,0.0389199999999964
"20-24",2027,"0",0.168199999999988,0.0336399999999976
"20-24",2028,"0",0.141799999999985,0.0283599999999969
"20-24",2029,"0",0.115399999999981,0.0230799999999963
"20-24",2030,"0",0.0889999999999873,0.0177999999999975
"20-24",2031,"0",0.062599999999984,0.0125199999999968
"20-24",2032,"0",0.0361999999999807,0.00723999999999614
"20-24",2033,"0",0.00979999999998654,0.00195999999999731
"20-24",2034,"0",0,0
"20-24",2035,"0",0,0
"20-24",2036,"0",0,0
"20-24",2037,"0",0,0
"20-24",2038,"0",0,0
"20-24",2039,"0",0,0
"20-24",2040,"0",0,0
"20-24",2020,"1",0.102199999999993,0.0204399999999987
"20-24",2021,"1",0.0913999999999939,0.0182799999999988
"20-24",2022,"1",0.0805999999999941,0.0161199999999988
"20-24",2023,"1",0.0697999999999933,0.0139599999999987
"20-24",2024,"1",0.0589999999999937,0.0117999999999987
"20-24",2025,"1",0.0481999999999952,0.00963999999999903
"20-24",2026,"1",0.0403999999999956,0.00807999999999912
"20-24",2027,"1",0.0327999999999957,0.00655999999999914
"20-24",2028,"1",0.0251999999999935,0.0050399999999987
"20-24",2029,"1",0.0175999999999936,0.00351999999999872
"20-24",2030,"1",0.00999999999999366,0.00199999999999873
"20-24",2031,"1",0.00239999999999375,0.000479999999998749
"20-24",2032,"1",0.000599999999999925,0.000119999999999985
"20-24",2033,"1",0.00059999999999992,0.000119999999999984
"20-24",2034,"1",0.000599999999999915,0.000119999999999983
"20-24",2035,"1",0.00059999999999991,0.000119999999999982
"20-24",2036,"1",0.000599999999999905,0.000119999999999981
"20-24",2037,"1",0.0005999999999999,0.00011999999999998
"20-24",2038,"1",0.000599999999999895,0.000119999999999979
"20-24",2039,"1",0.00059999999999989,0.000119999999999978
"20-24",2040,"1",0.000599999999999885,0.000119999999999977
"20-24",2020,"2",0.0167999999999983,0.00335999999999967
"20-24",2021,"2",0.0135999999999987,0.00271999999999973
"20-24",2022,"2",0.0103999999999989,0.00207999999999978
