"Age_cat","Year","Num_child","Percentage","probs"
"25-29",2037,"1",30.2599999999999,0.302599999999999
"25-29",2038,"1",30.1399999999999,0.301399999999999
"25-29",2039,"1",30.0199999999999,0.300199999999999
"25-29",2040,"1",29.8999999999999,0.298999999999999
"25-29",2020,"2",24.3999999999996,0.243999999999996
"25-29",2021,"2",23.7999999999997,0.237999999999997
"25-29",2022,"2",23.1999999999996,0.231999999999996
"25-29",2023,"2",22.5999999999997,0.225999999999997
"25-29",2024,"2",21.9999999999995,0.219999999999995
"25-29",2025,"2",21.3999999999996,0.213999999999996
"25-29",2026,"2",20.7999999999995,0.207999999999995
"25-29",2027,"2",20.1999999999996,0.201999999999996
"25-29",2028,"2",19.5999999999997,0.195999999999997
"25-29",2029,"2",18.9999999999995,0.189999999999995
"25-29",2030,"2",18.3999999999996,0.183999999999996
"25-29",2031,"2",17.7999999999995,0.177999999999995
"25-29",2032,"2",17.1999999999996,0.171999999999996
"25-29",2033,"2",16.5999999999995,0.165999999999995
"25-29",2034,"2",15.9999999999995,0.159999999999995
"25-29",2035,"2",15.3999999999994,0.153999999999994
"25-29",2036,"2",14.7999999999995,0.147999999999995
"25-29",2037,"2",14.1999999999994,0.141999999999994
"25-29",2038,"2",13.5999999999995,0.135999999999995
"25-29",2039,"2",12.9999999999993,0.129999999999993
"25-29",2040,"2",12.3999999999994,0.123999999999994
"25-29",2020,"3",7.45999999999958,0.0745999999999958
"25-29",2021,"3",6.83999999999969,0.0683999999999969
"25-29",2022,"3",6.21999999999957,0.0621999999999957
"25-29",2023,"3",5.59999999999945,0.0559999999999945
"25-29",2024,"3",4.97999999999956,0.0497999999999956
"25-29",2025,"3",4.35999999999945,0.0435999999999944
"25-29",2026,"3",3.73999999999955,0.0373999999999955
"25-29",2027,"3",3.11999999999944,0.0311999999999944
"25-29",2028,"3",2.49999999999955,0.0249999999999955
"25-29",2029,"3",1.87999999999943,0.0187999999999943
"25-29",2030,"3",1.25999999999954,0.0125999999999954
"25-29",2031,"3",0.639999999999418,0.00639999999999418
"25-29",2032,"3",0.0199999999995271,0.000199999999995271
"25-29",2033,"3",0,0
"25-29",2034,"3",0,0
"25-29",2035,"3",0,0
"25-29",2036,"3",0,0
"25-29",2037,"3",0,0
"25-29",2038,"3",0,0
"25-29",2039,"3",0,0
"25-29",2040,"3",0,0
"25-29",2020,"4",1.77999999999986,0.0177999999999986
"25-29",2021,"4",1.49999999999989,0.0149999999999989
"25-29",2022,"4",1.21999999999991,0.0121999999999991
"25-29",2023,"4",0.939999999999827,0.00939999999999827
"25-29",2024,"4",0.659999999999854,0.00659999999999854
"25-29",2025,"4",0.379999999999882,0.00379999999999882
"25-29",2026,"4",0.0999999999997954,0.000999999999997954
"25-29",2027,"4",0,0
"25-29",2028,"4",0,0
"25-29",2029,"4",0,0
"25-29",2030,"4",0,0
"25-29",2031,"4",0,0
"25-29",2032,"4",0,0
"25-29",2033,"4",0,0
"25-29",2034,"4",0,0
"25-29",2035,"4",0,0
"25-29",2036,"4",0,0
"25-29",2037,"4",0,0
"25-29",2038,"4",0,0
"25-29",2039,"4",0,0
"25-29",2040,"4",0,0
"25-29",2020,"5+",0.339999999999918,0.00339999999999918
"25-29",2021,"5+",0.159999999999911,0.00159999999999911
"25-29",2022,"5+",0,0
"25-29",2023,"5+",0,0
"25-29",2024,"5+",0,0
"25-29",2025,"5+",0,0
"25-29",2026,"5+",0,0
"25-29",2027,"5+",0,0
"25-29",2028,"5+",0,0
"25-29",2029,"5+",0,0
"25-29",2030,"5+",0,0
"25-29",2031,"5+",0,0
"25-29",2032,"5+",0,0
"25-29",2033,"5+",0,0
